"codefuv";"libelle";"libellereduit";"commune";"inseecommune";"nature";"motdirecteur";"categorie";"codefantoir";"importance";"commentaire";"datemiseajourattributs";"codefuvactu";"validite";"libelleactu";"domanialiteglobale";"denomroute";"datecreation";"datemajdomaglobale";"datemajgeometrie";"datemajattribtroncon";"dateabandondenom";"localise"
"27291";"Montée de l'Amphithéâtre";"Mte de l'Amphithéâtre";"LYON 1ER";"69381";"Voie";"AMPHITHEATRE";"MONTEE";"6903810235Z";"petite rue";"";"15/11/2000";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27292";"Montée de la Butte";"Mte de la Butte";"LYON 1ER";"69381";"Voie";"BUTTE";"MONTEE";"6903811160E";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"02/03/2016";"06/11/2007";"";"Oui"
"27293";"Montée de la Grande Côte";"Mte de la Grande Côte";"LYON 1ER";"69381";"Voie";"COTE";"MONTEE";"6903813305L";"moyenne rue";"";"16/11/2000";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"07/03/2016";"24/09/2003";"";"Oui"
"27294";"Montée de Vauzelles";"Mte de Vauzelles";"LYON 1ER";"69381";"Voie";"VAUZELLES";"MONTEE";"6903817295Y";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27295";"Montée des Carmélites";"Mte des Carmélites";"LYON 1ER";"69381";"Voie";"CARMELITES";"MONTEE";"6903811255H";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"07/03/2016";"07/02/2000";"";"Oui"
"27297";"Montée Hoche";"Mte Hoche";"LYON 1ER";"69381";"Voie";"HOCHE";"MONTEE";"6903813560N";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"01/01/1996";"01/01/1996";"";"Oui"
"27298";"Montée Lieutenant Allouche";"Mte Lt Allouche";"LYON 1ER";"69381";"Voie";"ALLOUCHE";"MONTEE";"6903814225L";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"27/04/1986";"13/05/2015";"04/03/2016";"22/12/2008";"";"Oui"
"27299";"Montée Neyret";"Mte Neyret";"LYON 1ER";"69381";"Voie";"NEYRET";"MONTEE";"6903815030L";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"07/03/2016";"01/01/1996";"";"Oui"
"27300";"Montée Saint Sébastien";"Mte St Sébastien";"LYON 1ER";"69381";"Voie";"SEBASTIEN";"MONTEE";"6903816560Z";"moyenne rue";"";"06/06/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"07/03/2016";"03/11/2008";"";"Oui"
"27301";"Passage de la Soie";"Pas de la Soie";"LYON 1ER";"69381";"Voie";"SOIE";"PASSAGE";"6903816795E";"petite rue";"";"17/12/1996";"";"Historique";"";"";"";"23/04/1986";"";"06/03/2001";"06/03/2001";"06/03/2001";"Oui"
"27302";"Passage des Terreaux";"Pas des Terreaux";"LYON 1ER";"69381";"Voie";"TERREAUX";"PASSAGE";"6903816948W";"petite rue";"";"17/12/1996";"";"Actuelle";"";"Privé";"";"23/04/1986";"13/05/2015";"28/05/2001";"28/05/2001";"";"Oui"
"27304";"Passerelle Saint Vincent";"Ple St Vincent";"LYON 1ER";"69381";"Voie";"VINCENT";"PASSERELLE";"6903816583Z";"petite rue";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"15/11/2000";"15/11/2000";"";"Oui"
"27305";"Place Bellevue";"Pl Bellevue";"LYON 1ER";"69381";"Voie";"BELLEVUE";"PLACE";"6903810825R";"grande place";"";"09/09/1996";"";"Actuelle";"";"Métropole";"";"23/04/1986";"13/05/2015";"04/03/2016";"11/05/2010";"";"Oui"
