"Gendarmerie";"P578";"DARDILLY";"GRAND LYON";"GRAND LYON";"Avenue de Verdun";"Avenue de Verdun";"Existant";"2008";"Poche de stationnement";"En surface";"Non";"";"5";"0";"3";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"1";"4.750940328299037";"45.81385676152648"
"Le Barriot";"P579";"DARDILLY";"GRAND LYON";"GRAND LYON";"Avenue de Verdun";"Avenue de Verdun";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"2";"4.750611215402189";"45.81790424346221"
"Paillet";"P310";"DARDILLY";"COMMUNE";"COMMUNE";"Route de la Tour de Salvagny";"Chemin du Fort";"Existant";"2012";"Aire de covoiturage";"En surface";"Non";"1.9";"34";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"3";"4.749130360017359";"45.82268395604636"
"Boulodrome du Paillet";"P580";"DARDILLY";"COMMUNE";"COMMUNE";"Chemin du Bois Ragot";"Chemin du Bois Ragot";"Existant";"2010";"Poche de stationnement";"En surface";"Non";"1.9";"27";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"4";"4.748538437886761";"45.823678274366905"
"Stade Moulin Carron";"P581";"DARDILLY";"COMMUNE";"COMMUNE";"Chemin des Peupliers";"Chemin des Peupliers";"Existant";"2007";"Poche de stationnement";"En surface";"Non";"";"40";"3";"2";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"5";"4.758152848071351";"45.81379270456899"
"Fort du Paillet";"P582";"DARDILLY";"COMMUNE";"COMMUNE";"Chemin du Fort";"Chemin du Fort";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"35";"0";"0";"0";"0";"Libre";"Gratuit";"Ouvert 24h/24h";"";"6";"4.748127402723846";"45.824522991289484"
"Place Porte de Lyon";"P583";"DARDILLY";"GRAND LYON";"GRAND LYON";"Avenue du Camping Internationa";"Avenue du Camping Internationa";"Existant";"2004";"Poche de stationnement";"En surface";"Non";"";"90";"2";"5";"0";"3";"Libre";"Gratuit";"Ouvert 24h/24h";"";"7";"4.760834649204558";"45.820446060623254"
"Flesselles";"P101";"Lyon 1 er";"Particulier";"Particulier";"Rue de Flesselles";"Rue de Flesselles";"Existant";"";"Parc privé (ou concédé non GL)";"En ouvrage (sous-sol)";"Non";"";"100";"";"";"";"";"Réservé abonnés";"Payant";"Ouvert 24h/24h";"locatif";"8";"4.826532372003537";"45.77108134398452"
"Lycée Rabelais/Gymnase Guillaud";"P584";"DARDILLY";"GRAND LYON";"GRAND LYON";"Chemin du Dodin";"Chemin du Dodin";"Existant";"";"Poche de stationnement";"En surface";"Non";"";"38";"0";"0";"0";"1";"Libre";"Gratuit";"Ouvert 24h/24h";"";"9";"4.761184452297964";"45.81802649565617"
"Place Louis Pradel";"P268";"CHASSIEU";"GRAND LYON";"GRAND LYON";"Rue Vincent d'Indy";"Rue des Roberdières";"Existant";"";"Poche de stationnement";"En surface";"Non";"1.8";"54";"0";"0";"0";"2";"Libre";"Gratuit";"Ouvert 24h/24h";"";"10";"4.96314797692134";"45.74676120624967"
