"Station";"Polluant";"Mesure";"Unité";"Date";"Valeur"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 0:00\"";"54"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 0:00\"";"21"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 0:00\"";"58"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 1:00\"";"55"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 1:00\"";"24"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 1:00\"";"52"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 2:00\"";"52"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 2:00\"";"22"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 2:00\"";"49"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 3:00\"";"52"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 3:00\"";"24"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 3:00\"";"49"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 4:00\"";"50"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 4:00\"";"19"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 4:00\"";"45"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 5:00\"";"49"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 5:00\"";"19"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 5:00\"";"40"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 6:00\"";"46"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 6:00\"";"13"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 6:00\"";"40"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 7:00\"";"44"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 7:00\"";"11"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 7:00\"";"38"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 8:00\"";"44"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 8:00\"";"9"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 8:00\"";"36"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 9:00\"";"42"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 9:00\"";"6"
"\"Lyon Trafic Jaurès\"";"\"Particules PM10\"";"\"Particules PM10\"";"microg/m3";"\"01/01/2017 9:00\"";"37"
"\"Lyon Trafic Jaurès\"";"\"Dioxyde d'azote\"";"\"Dioxyde d'azote\"";"microg/m3";"\"01/01/2017 10:00\"";"40"
"\"Lyon Trafic Jaurès\"";"\"Monoxyde d'azote\"";"\"Monoxyde d'azote\"";"microg/m3";"\"01/01/2017 10:00\"";"14"
